,date,default_code,name_prod,subcateg_name,st_in,st_out,st_last,order_qty,qty_delivered,selisih,progress_sum,stock-so
857,2021-12-08,E5006K,EVA KananKiri K5006 size 24-29 @96,Medium,10.0,0.0,10.0,5.0,0.0,5.0,39.0,-29.0
858,2021-12-08,E3037L,EVA Porto 3037L size 36-39 @48,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
859,2021-12-08,JLET,PortoLady LET size 36-40 @24,Slow,4.0,2.0,67.73,2.0,0.0,2.0,7.0,60.730000000000004
860,2021-12-08,E3027L,EVA Porto 3027L size 36-40 @48,Fast,16.0,20.0,5.0,13.0,0.0,13.0,86.0,-81.0
861,2021-12-08,E0610B,EVA Porto 610B size 30-35 @72,Medium,2.0,5.0,28.0,0.0,0.0,0.0,11.0,17.0
862,2021-12-08,E1006L,EVA Porto 1006L size 36-39 @48,Medium,10.0,15.0,57.0,1.0,0.0,1.0,131.0,-74.0
863,2021-12-08,JBTS-1,PortoLady BTS-1 size 36-40 @36,Slow,33.0,15.0,159.0,0.0,5.0,-5.0,12.0,147.0
864,2021-12-08,E1006T,EVA Porto 1006T size 18-23 @96,Very Fast,87.0,121.0,83.0,8.0,21.0,-13.0,83.0,0.0
865,2021-12-08,E1034B,EVA Porto 1034B size 30-35 @72,Very Fast,309.0,269.0,210.0,16.0,1.0,15.0,218.0,-8.0
866,2021-12-08,E1037M,EVA Porto 1037M size 39-44 @48,Slow,0.0,0.0,0.0,5.0,0.0,5.0,56.0,-56.0
867,2021-12-08,JDTB,PortoLady DTB size 36-40 @36,Medium,42.0,10.0,133.0,6.0,2.0,4.0,37.0,96.0
868,2021-12-08,BA217L,Shoe Porto BA 217L size 37-40 @40,Slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
869,2021-12-08,AD017L,Shoe Porto AD 017L Mix size 36-40 @20,Very Fast,0.0,0.0,58.0,0.0,0.0,0.0,0.0,58.0
870,2021-12-08,E0035K,EVA KananKiri K35 size 24-29 @96,Fast,16.0,20.0,12.0,3.0,2.0,1.0,18.0,-6.0
871,2021-12-08,JROS,PortoLady ROS size 36-40 @36,Medium,84.0,82.0,60.0,7.0,5.0,2.0,120.0,-60.0
